Age,Gender,Height,Weight,Activity Level,Dietary Preference,Fitness Goal,Daily Calorie Target,Protein,Carbohydrates,Fat
25,Male,180,80,Moderately Active,Omnivore,Weight Loss,2000,120,250,60
32,Female,165,65,Lightly Active,Vegetarian,Weight Loss,1600,80,200,40
48,Male,175,95,Sedentary,Vegetarian,Maintenance,2200,100,300,65
55,Female,160,70,Very Active,Omnivore,Weight Loss,2500,140,350,80
62,Male,170,85,Sedentary,Vegetarian,Maintenance,2000,80,250,55
68,Female,155,60,Lightly Active,Vegetarian,Maintenance,1800,70,220,45
28,Male,190,100,Moderately Active,Omnivore,Muscle Gain,3000,180,350,80
35,Female,170,75,Very Active,Vegetarian,Muscle Gain,2400,120,300,60
42,Male,185,110,Moderately Active,Vegetarian,Muscle Gain,3200,160,400,85
58,Female,168,78,Sedentary,Vegetarian,Maintenance,1900,75,230,50
25,Male,180,80,Lightly Active,Omnivore,Weight Loss,2000,120,250,60
32,Female,165,65,Moderately Active,Vegetarian,Muscle Gain,2200,100,300,70
48,Male,175,95,Sedentary,Vegetarian,Maintenance,2400,100,350,80
55,Female,160,70,Moderately Active,Omnivore,Weight Loss,1800,100,200,50
62,Male,170,85,Very Active,Vegetarian,Muscle Gain,3000,150,400,100
28,Female,172,60,Lightly Active,Vegetarian,Muscle Gain,2000,100,250,60
35,Male,185,90,Very Active,Omnivore,Weight Loss,2500,150,300,80
40,Female,168,75,Moderately Active,Vegetarian,Maintenance,2200,100,300,70
22,Male,190,100,Lightly Active,Omnivore,Muscle Gain,2800,160,350,90
58,Female,155,68,Sedentary,Vegetarian,Weight Loss,1600,80,180,40
24,Female,165,55,Lightly Active,Omnivore,Weight Loss,1800,100,250,50
38,Male,180,80,Moderately Active,Omnivore,Muscle Gain,2800,160,350,80
55,Female,160,70,Sedentary,Vegetarian,Weight Loss,1600,80,200,40
62,Male,175,95,Moderately Active,Omnivore,Weight Loss,2200,120,280,60
28,Female,170,65,Very Active,Vegetarian,Muscle Gain,2400,140,320,70
45,Male,185,100,Lightly Active,Omnivore,Weight Loss,2000,110,250,50
68,Female,155,60,Sedentary,Vegetarian,Maintenance,1400,70,180,35
32,Male,190,90,Very Active,Omnivore,Muscle Gain,3000,180,400,90
58,Male,170,85,Moderately Active,Vegetarian,Weight Loss,1900,100,240,50
22,Female,160,50,Lightly Active,Vegetarian,Weight Loss,1500,80,200,40
25,Female,165,60,Lightly Active,Omnivore,Weight Loss,1800,80,200,60
38,Male,180,85,Moderately Active,Vegetarian,Muscle Gain,2800,150,250,80
55,Female,160,65,Sedentary,Vegetarian,Maintenance,1600,65,180,50
42,Male,190,95,Very Active,Omnivore,Muscle Gain,3200,200,300,100
62,Female,155,58,Sedentary,Vegetarian,Weight Loss,1400,55,150,40
